HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000162490.7,33,31,49,24,73,53,9,27,54,38
ENSG00000177674.16,2074,2476,3127,4078,4126,2496,706,2499,1812,2085
ENSG00000215910.8,0,2,1,2,0,0,0,4,1,2
ENSG00000177553.6,0,0,0,0,0,0,0,0,0,0
ENSG00000177000.13,705,571,900,414,880,769,772,1117,878,811
ENSG00000011021.23,384,358,441,261,463,473,705,596,546,575
ENSG00000276470.1,0,0,0,0,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0,0,0,0,0
ENSG00000175206.11,1,8,7,23,6,14,17,10,8,18
ENSG00000275915.1,0,0,0,0,0,0,0,0,0,0
ENSG00000120937.9,0,0,0,1,0,0,0,0,0,0
ENSG00000224904.1,1,1,0,0,0,0,0,0,0,0
ENSG00000285646.2,10,9,17,24,14,24,17,42,19,24
ENSG00000199347.1,0,0,0,0,0,0,0,0,0,0
ENSG00000201801.1,3,0,0,2,0,0,13,4,1,0
